City,Population,Murders
New York City,8405837,4
Los Angeles,3884307,6.5
Chicago,2718782,15.2
Houston,2195914,9.8
Philadelphia,1553165,15.9
Phoenix,1513367,7.9
San Antonio,1409019,5.1
San Diego,1355896,2.9
Dallas,1257676,11.4
San Jose,998537,3.8
